Data,Energy
5,847.96
3,852.39
0,856.83
1,861.27
3,865.72
3,870.17
4,874.63
0,879.1
0,883.57
5,888.05
4,892.53
1,897.03
0,901.52
1,906.03
3,910.54
5,915.06
3,919.59
1,924.12
1,928.66
2,933.2
3,937.76
2,942.32
3,946.89
5,951.47
6,956.05
5,960.64
6,965.24
3,969.85
3,974.46
3,979.09
5,983.72
4,988.36
2,993.01
3,997.66
3,1002.33
2,1007
0,1011.68
0,1016.37
2,1021.07
0,1025.78
0,1030.49
0,1035.22
1,1039.96
0,1044.7
0,1049.45
0,1054.22
0,1058.99
1,1063.77
2,1068.56
2,1073.36
2,1078.17
0,1082.99
0,1087.82
0,1092.66
0,1097.51
1,1102.38
0,1107.25
0,1112.13
1,1117.02
0,1121.92
0,1126.83
0,1131.76
1,1136.69
2,1141.64
2,1146.59
2,1151.56
1,1156.54
0,1161.53
0,1166.53
0,1171.54
1,1176.56
0,1181.6
0,1186.65
0,1191.7
1,1196.77
0,1201.86
0,1206.95
0,1212.06
0,1217.17
1,1222.3
1,1227.45
0,1232.6
0,1237.77
0,1242.95
0,1248.14
0,1253.34
1,1258.56
1,1263.79
1,1269.04
2,1274.29
1,1279.56
1,1284.85
0,1290.14
0,1295.45
0,1300.77
0,1306.11
0,1311.46
0,1316.82
0,1322.2
2,1327.59
1,1333
0,1338.42
1,1343.85
1,1349.3
0,1354.76
0,1360.23
1,1365.72
0,1371.23
0,1376.75
0,1382.28
0,1387.83
1,1393.4
1,1398.98
0,1404.57
0,1410.18
1,1415.8
1,1421.44
0,1427.1
0,1432.77
0,1438.45
1,1444.15
0,1449.87
0,1455.6
0,1461.35
0,1467.12
0,1472.9
0,1478.69
1,1484.51
2,1490.34
0,1496.18
0,1502.04
0,1507.92
0,1513.82
0,1519.73
0,1525.66
0,1531.6
0,1537.57
0,1543.54
1,1549.54
1,1555.55
0,1561.59
1,1567.63
2,1573.7
1,1579.78
0,1585.88
0,1592
0,1598.14
0,1604.29
0,1610.46
0,1616.65
0,1622.86
0,1629.09
0,1635.33
0,1641.6
0,1647.88
0,1654.18
1,1660.5
1,1666.83
0,1673.19
0,1679.56
0,1685.96
0,1692.37
0,1698.8
2,1705.25
1,1711.73
0,1718.21
0,1724.72
0,1731.25
0,1737.8
0,1744.37
0,1750.96
0,1757.56
0,1764.19
2,1770.84
0,1777.51
0,1784.2
0,1790.9
0,1797.63
1,1804.38
1,1811.15
0,1817.94
0,1824.75
0,1831.58
0,1838.44
0,1845.31
1,1852.2
1,1859.12
0,1866.06
0,1873.01
0,1879.99
0,1886.99
0,1894.02
1,1901.06
0,1908.13
0,1915.21
0,1922.32
0,1929.45
0,1936.61
0,1943.78
0,1950.98
0,1958.2
1,1965.44
1,1972.71
0,1979.99
0,1987.3
0,1994.63
0,2001.99
0,2009.37
0,2016.77
0,2024.19
0,2031.64
0,2039.11
0,2046.6
0,2054.12
0,2061.66
0,2069.23
0,2076.81
0,2084.42
0,2092.06
0,2099.72
0,2107.4
0,2115.11
1,2122.84
1,2130.59
0,2138.37
0,2146.18
0,2154.01
0,2161.86
0,2169.74
0,2177.64
0,2185.56
0,2193.52
0,2201.49
0,2209.49
0,2217.52
1,2225.57
1,2233.65
0,2241.75
0,2249.88
1,2258.03
0,2266.21
0,2274.42
0,2282.65
1,2290.91
1,2299.19
0,2307.5
0,2315.83
0,2324.19
0,2332.58
0,2340.99
0,2349.43
0,2357.9
0,2366.39
0,2374.91
0,2383.46
0,2392.03
0,2400.63
1,2409.26
1,2417.91
0,2426.6
0,2435.31
0,2444.04
0,2452.81
0,2461.6
0,2470.42
0,2479.26
0,2488.14
0,2497.04
0,2505.97
0,2514.93
0,2523.91
0,2532.93
0,2541.97
0,2551.04
0,2560.14
0,2569.27
1,2578.43
1,2587.61
0,2596.83
0,2606.07
0,2615.34
0,2624.64
0,2633.97
0,2643.33
0,2652.72
0,2662.14
0,2671.59
0,2681.07
0,2690.57
0,2700.11
1,2709.68
1,2719.27
0,2728.9
0,2738.55
0,2748.24
0,2757.96
0,2767.7
0,2777.48
0,2787.29
0,2797.13
0,2806.99
0,2816.89
0,2826.82
0,2836.78
0,2846.78
0,2856.8
0,2866.85
0,2876.94
0,2887.06
0,2897.2
0,2907.38
1,2917.59
1,2927.84
0,2938.11
0,2948.42
0,2958.76
0,2969.12
0,2979.53
0,2989.96
0,3000.43
0,3010.93
0,3021.46
0,3032.02
0,3042.62
0,3053.24
0,3063.91
0,3074.6
0,3085.33
0,3096.09
0,3106.88
0,3117.71
0,3128.56
0,3139.46
0,3150.38
0,3161.34
0,3172.34
1,3183.36
1,3194.42
0,3205.52
0,3216.64
0,3227.81
0,3239
0,3250.23
0,3261.5
0,3272.79
0,3284.13
0,3295.49
0,3306.9
0,3318.33
0,3329.8
0,3341.31
0,3352.85
0,3364.43
0,3376.04
0,3387.68
0,3399.36
0,3411.08
0,3422.83
0,3434.62
0,3446.44
0,3458.3
1,3470.2
1,3482.13
0,3494.09
0,3506.09
0,3518.13
0,3530.21
0,3542.32
0,3554.46
0,3566.64
