Data,Energy
0,12186.87
0,12220.22
0,12253.64
0,12287.14
0,12320.7
0,12354.33
0,12388.04
0,12421.81
0,12455.66
1,12489.57
1,12523.56
0,12557.61
0,12591.74
0,12625.93
0,12660.2
0,12694.54
0,12728.95
0,12763.43
0,12797.98
0,12832.6
0,12867.29
0,12902.06
0,12936.9
0,12971.8
0,13006.78
0,13041.83
0,13076.96
0,13112.15
0,13147.42
0,13182.76
0,13218.17
0,13253.65
0,13289.21
0,13324.83
0,13360.53
0,13396.3
0,13432.15
1,13468.07
1,13504.06
1,13540.12
0,13576.25
2,13612.46
1,13648.75
0,13685.1
0,13721.53
0,13758.03
0,13794.61
0,13831.26
1,13867.98
2,13904.77
1,13941.64
1,13978.59
2,14015.6
1,14052.7
0,14089.86
2,14127.1
1,14164.41
0,14201.8
0,14239.27
0,14276.8
0,14314.41
0,14352.1
1,14389.86
1,14427.7
0,14465.61
0,14503.6
0,14541.66
0,14579.79
0,14618
